service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
19T0,1,1,1,1,1,0,0,20231101,20231209
19T0#1,1,1,1,1,1,0,0,20231101,20231209
19T0#10,1,1,1,1,1,0,0,20231101,20231209
19T0#11,1,1,1,1,1,0,0,20231101,20231209
19T0#12,1,1,1,1,1,0,0,20231101,20231209
19T0#13,1,1,1,1,1,0,0,20231101,20231209
19T0#14,0,0,0,1,1,0,0,20231101,20231103
19T0#15,1,1,1,1,1,0,0,20231104,20231209
19T0#16,1,1,1,1,1,0,0,20231101,20231124
19T0#17,1,1,1,1,1,0,0,20231125,20231209
19T0#18,1,1,1,1,1,0,0,20231101,20231209
19T0#19,1,1,1,1,1,0,0,20231120,20231201
19T0#2,1,1,1,1,1,0,0,20231101,20231209
19T0#20,1,1,1,1,1,0,0,20231101,20231209
19T0#21,1,1,1,1,1,0,0,20231101,20231209
19T0#22,1,1,1,1,1,0,0,20231101,20231209
19T0#23,1,1,1,1,1,0,0,20231101,20231209
19T0#24,1,1,1,1,1,0,0,20231101,20231117
19T0#25,0,0,0,0,1,0,0,20231110,20231112
19T0#26,1,1,1,1,1,0,0,20231101,20231117
19T0#27,1,1,1,1,1,0,0,20231118,20231209
19T0#28,1,1,1,1,1,0,0,20231101,20231209
19T0#29,1,1,1,1,1,0,0,20231101,20231209
19T0#3,1,1,1,1,1,0,0,20231106,20231112
19T0#30,1,1,1,1,1,0,0,20231101,20231209
19T0#31,1,1,1,1,1,0,0,20231101,20231209
19T0#32,1,1,1,1,1,0,0,20231101,20231209
19T0#33,1,1,1,1,1,0,0,20231101,20231209
19T0#34,1,1,1,1,1,0,0,20231101,20231209
19T0#35,1,1,1,1,1,0,0,20231101,20231209
19T0#36,1,1,1,1,1,0,0,20231101,20231209
19T0#37,1,1,1,1,1,0,0,20231101,20231209
19T0#38,1,1,1,1,1,0,0,20231101,20231209
19T0#39,1,1,1,1,1,0,0,20231101,20231209
19T0#4,1,1,1,1,1,0,0,20231101,20231209
