service_id,date,exception_type
19T0,20231101,2
19T0#1,20231101,2
19T0#10,20231101,2
19T0#11,20231101,2
19T0#12,20231101,2
19T0#13,20231101,2
19T0#13,20231102,2
19T0#13,20231103,2
19T0#16,20231101,2
19T0#18,20231101,2
19T0#18,20231120,2
19T0#18,20231121,2
19T0#18,20231122,2
19T0#18,20231123,2
19T0#18,20231124,2
19T0#18,20231127,2
19T0#18,20231128,2
19T0#18,20231129,2
19T0#18,20231130,2
19T0#18,20231201,2
19T0#2,20231101,2
19T0#2,20231106,2
19T0#2,20231107,2
19T0#2,20231108,2
19T0#2,20231109,2
19T0#2,20231110,2
19T0#20,20231101,2
19T0#21,20231101,2
19T0#22,20231101,2
19T0#23,20231101,2
19T0#23,20231102,2
19T0#23,20231103,2
19T0#23,20231106,2
19T0#23,20231107,2
19T0#23,20231108,2
19T0#23,20231109,2
19T0#23,20231110,2
19T0#23,20231113,2
19T0#23,20231114,2
19T0#23,20231115,2
19T0#23,20231116,2
19T0#23,20231117,2
19T0#24,20231101,2
19T0#24,20231110,2
19T0#26,20231101,2
19T0#26,20231110,2
19T0#28,20231101,2
19T0#29,20231101,2
19T0#30,20231101,2
19T0#31,20231101,2
19T0#32,20231101,2
19T0#33,20231101,2
19T0#34,20231101,2
19T0#35,20231101,2
19T0#36,20231101,2
19T0#37,20231101,2
19T0#38,20231101,2
19T0#39,20231101,2
19T0#4,20231101,2
19T0#4,20231102,2
19T0#4,20231103,2
19T0#4,20231106,2
19T0#4,20231107,2
19T0#4,20231108,2
19T0#4,20231109,2
19T0#4,20231110,2
19T0#40,20231101,2
19T0#41,20231101,2
19T0#42,20231101,2
19T0#44,20231101,2
19T0#45,20231101,2
19T0#46,20231101,2
19T0#46,20231102,2
19T0#46,20231103,2
19T0#46,20231106,2
19T0#46,20231107,2
19T0#46,20231108,2
19T0#46,20231109,2
19T0#46,20231110,2
19T0#46,20231113,2
19T0#46,20231114,2
19T0#46,20231115,2
19T0#46,20231116,2
19T0#46,20231117,2
19T0#46,20231120,2
19T0#46,20231121,2
19T0#46,20231122,2
19T0#46,20231123,2
19T0#46,20231124,2
19T0#47,20231101,2
19T0#49,20231101,2
19T0#49,20231102,2
19T0#49,20231103,2
19T0#5,20231101,2
19T0#50,20231101,2
19T0#51,20231101,2
19T0#52,20231101,2
19T0#53,20231101,2
19T0#54,20231101,2
19T0#55,20231101,2
19T0#57,20231101,2
19T0#58,20231101,2
19T0#59,20231101,2
19T0#6,20231101,2
19T0#60,20231101,2
19T0#60,20231102,2
19T0#60,20231103,2
19T0#60,20231106,2
19T0#60,20231107,2
19T0#60,20231108,2
19T0#60,20231109,2
19T0#60,20231110,2
19T0#61,20231101,2
19T0#64,20231101,2
19T0#65,20231101,2
19T0#66,20231101,2
19T0#66,20231102,2
19T0#66,20231103,2
19T0#66,20231106,2
19T0#66,20231107,2
19T0#66,20231108,2
19T0#66,20231109,2
19T0#66,20231110,2
19T0#66,20231113,2
19T0#66,20231114,2
19T0#66,20231115,2
19T0#66,20231116,2
19T0#66,20231117,2
19T0#66,20231120,2
19T0#66,20231121,2
19T0#66,20231122,2
19T0#66,20231123,2
19T0#66,20231124,2
19T0#66,20231127,2
19T0#66,20231128,2
19T0#66,20231129,2
19T0#66,20231130,2
19T0#66,20231201,2
19T0#66,20231204,2
19T0#66,20231205,2
19T0#66,20231206,2
19T0#66,20231207,2
19T0#66,20231208,2
19T0#67,20231101,2
19T0#68,20231101,2
19T0#69,20231101,2
19T0#69,20231204,2
19T0#69,20231205,2
19T0#69,20231206,2
19T0#69,20231207,2
19T0#69,20231208,2
19T0#7,20231101,2
19T0#71,20231101,2
19T0#71,20231108,2
19T0#71,20231109,2
19T0#71,20231110,2
19T0#73,20231101,2
19T0#74,20231225,2
19T0#74,20231226,2
19T0#74,20240101,2
19T0#74,20240329,2
19T0#75,20231225,2
19T0#75,20231226,2
19T0#75,20240101,2
19T0#75,20240329,2
19T0#77,20231225,2
19T0#77,20231226,2
19T0#77,20240101,2
19T0#77,20240329,2
19T0#79,20231225,2
19T0#79,20231226,2
19T0#79,20240101,2
19T0#79,20240329,2
19T0#8,20231101,2
19T0#80,20231218,2
19T0#80,20231219,2
