route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-210-s23-1,1,210,"Brunnthal, Zusestraße - Ottobrunn - Neuperlach Süd",701,,005262,FFFFFF
19-210-s24-1,1,210,"Brunnthal, Zusestraße - Ottobrunn - Neuperlach Süd",701,,005262,FFFFFF
19-211-s23-1,1,211,Putzbrunn - Isarweg - Neubiberg - Neuperlach Süd,701,,005262,FFFFFF
19-211-s24-1,1,211,Putzbrunn - Isarweg - Neubiberg - Neuperlach Süd,701,,005262,FFFFFF
19-211-V-s23-1,1,211V,"Neubiberg, Realschule - Neubiberg - Unterbiberg",701,,005262,FFFFFF
19-211-V-s24-1,1,211V,"Neubiberg, Realschule - Neubiberg - Unterbiberg",701,,005262,FFFFFF
19-211-W-s23-1,1,211W,"Solalinden - Ottobrunn, Karl-Stieler-Str. - Riemerling, Th.-Heuss-Str. - Solalinden - Putzbrunn",701,,005262,FFFFFF
19-211-W-s23-2,1,211W,"Solalinden - Ottobrunn, Karl-Stieler-Str. - Riemerling, Th.-Heuss-Str. - Solalinden - Putzbrunn",701,,005262,FFFFFF
19-211-W-s24-1,1,211W,"Solalinden - Ottobrunn, Karl-Stieler-Str. - Riemerling, Th.-Heuss-Str. - Solalinden - Putzbrunn",701,,005262,FFFFFF
19-212-s23-2,1,212,Grasbrunn - Putzbrunn - Ottobrunn - Neubiberg - Neuperlach Süd,701,,005262,FFFFFF
19-212-s24-1,1,212,Grasbrunn - Putzbrunn - Ottobrunn - Neubiberg - Neuperlach Süd,701,,005262,FFFFFF
19-214-s23-1,1,214,"Riemerling, Altenheim - Ottobrunn - Hohenbrunn",701,,005262,FFFFFF
19-214-s24-1,1,214,"Riemerling, Altenheim - Ottobrunn - Hohenbrunn",701,,005262,FFFFFF
19-214-V-s23-1,1,214V,"Ottobrunn, Einsteinstraße - Ottobrunn - Neubiberg, Realschule",701,,005262,FFFFFF
19-214-V-s24-1,1,214V,"Ottobrunn, Einsteinstraße - Ottobrunn - Neubiberg, Realschule",701,,005262,FFFFFF
19-215-s23-1,1,215,Lohhof Süd - Sportpark - Unterschleißheim Ost,701,,005262,FFFFFF
19-215-s23-8,1,215,Lohhof Süd - Sportpark - Unterschleißheim Ost,701,,005262,FFFFFF
19-215-s24-1,1,215,Lohhof Süd - Sportpark - Unterschleißheim Ost,701,,005262,FFFFFF
19-216-s23-1,1,216,"Taufkirchen, Hugo-Junkers-Str. - Höhenkirchen-Sieg. - Brunnthal - Hofolding - Faistenhaar",701,,005262,FFFFFF
